FTITLE,FDESC,TYPE
卧底,根据轰动英国的真人真事改编——过去数十年，英国警方一直秘密派遣卧底警察利用虚假身份接近某些特定女性，与她们形成亲密关系，然后监视她们及她们工作的组织或机构。主人公Maya Cobbina是英国历史上级别最高的黑人女性检察官，正当她勇敢地面对来自公众的质疑时，她突然发现丈夫Nick Johnson多年来一直在欺骗她——他事实上是一名卧底警察……,"犯罪,悬疑"
致命筹码,本剧是一部讲述现代警察的涉案剧，由任泽巍出任男主角。任泽巍在剧中扮演一位刑警队长，这位刑警队长一直是一位正直正义的队长，但妻子的意外却让他走上了违法和违背道德之路。在人性与法律面前，他不断自责和赎罪，最后在执行任务时牺牲。,犯罪
与敌共眠,惊险紧张的剧情设计加上演员精彩的表演，《与谁共眠》一定能让你“享受22集的战栗时间”。  　　诡异的故事，迷离的情节，恐怖，在恣意弥漫。国内首部惊悚悬疑全新大剧，震撼身心！冲击视听！明星强暴，连环奸杀，手段残忍的凶手，心理畸变的主谋……令人心悸的罪恶衍生现场、毛骨悚然的个人侦缉之路，危机，疑云，时刻在姐妹二人头顶笼罩；罪证，线索，随时令知情者的生命终结……,"犯罪,悬疑"
猎人笔记之谜,本剧讲述的是大文豪屠格涅夫所著的《猎人笔记》手稿背后隐藏着神秘的藏宝图，这些财宝富可敌国，而这份手稿一直珍藏在法国国家博物馆。  　　这份手稿即将起运前往俄罗斯展出，于是，犯罪团伙想尽办法偷窃手稿，但由于博物馆警戒严密，始终未能得手。中国政府应邀派出了智勇双全的国际刑警卫平（刘灿 饰），与俄罗斯探长尼娜以及普斯科维伊联合行动，终于在中国的武当山逮捕了参与偷盗的李虎（雷牧 饰）。与此同时，幕后黑手以杂技表演为名，诱骗李虎和卫平的同门师兄李大牛（陈小春 饰）取得了手稿，但此时的李大牛发现自己被骗。为了证明自己的清白，正直善良的李大牛在自己的俄罗斯朋友费多尔的帮助下，终于把手稿归还给警察局。然而经鉴定，手稿竟是假的。警方请求李大牛配合查案，李大牛为帮助师弟李虎戴罪立功，同意了当诱饵的计划，良心发现的李虎也决定将功赎罪。于是，在警方的配合下，李大牛和李虎各自执行自己的任务。一场对财富的探寻和争夺之战就此展开。 　　李大牛和李虎无数次地陷入危险之中，卫平、尼娜、普斯科维伊和警方，依靠大智大勇，帮助他们化险为夷。一次次死里逃生，最终，犯罪团伙成员均被警方抓获。李大牛找回了自己的清白，并用自己高超的中国功夫，保护了属于俄罗斯的财富。屠格涅夫的手稿，最终依然属于法国人，屠格涅夫留给后人的财富，则是他的后人娜塔莉亚所有，她把财富无偿地献给了自己的祖国--俄罗斯。,"犯罪,悬疑"
太阳滴血,故事发生在美丽的西南边陲。由罪恶、阴谋、美色、金钱和暴力编织的黑色网络一次又一次被年轻的边防缉毒战士撕毁。即使是曙光初照的黎明，为人类健康和尊严而战的硝烟仍远未散尽。高松是南疆边防支队调研参谋，朱镇疆是边防支队副支队长。在一次临时决定的紧急抓捕行动中，由于准备不充分，使境内头号毒枭马远从暗道逃脱，而且有两名战友在战斗中牺牲。高松因此受到上级调查局的怀疑，心理压力很大。情同兄长的朱镇疆毅然为高松承担了全部责任。朱镇疆平静地脱下军装，转业到了地方的计生委。壮志未酬的朱镇疆感到分外失落，但他极力掩盖着，俨然以一位永不服输的硬汉姿态配合总队继续他一生为之奋斗的缉毒事业。   高松和吕跃既是战友又是情敌。两个男人如何面对情场战场的两难选择？,
扫黑重案组,该剧讲述的是重案组为伸张正义，扫除黑社会集团，维护城市安宁，布下天罗地网，与犯罪分子展开了一场惊心动魄的较量的故事。 　　美丽的西南大都市有着世界上大都会同样的喧嚣、繁华和灯红酒绿，然而，在这一切的背后，却有着不为人知的黑暗之手。刑警队一日接到全市最大商场统一百货报案，声称有人敲诈该公司老总陈金堂，并以炸毁百货大楼相要挟。刑警队长程东带领的重案组紧急出动，调查这一起带有黑社会性质的敲诈案，在苦无线索之际，竟发现该案与盲女绑架案、市长助理被杀案、高速公路收费员被杀案有丝丝缕缕的关系，而且犯罪分子手法干净利落、手段残忍，种种迹象表明有一个黑社会集团在周密地操控着一切，当重案组历尽艰辛调查案件，并快要接近事情真相时，队长程东因涉嫌奸杀三陪小姐而身陷牢狱，令刑侦局长也被勒令休假，此时人性受到考验，善恶是否分明、黑白之分是否绝对？,"犯罪,悬疑"
欲望升级,《欲望升级》由中国文联音像出版社投资，讲述了刑警邵刚在执行任务中发现了一种在市场上还极为罕见的新型毒品。暗恋邵刚的大学毕业生柯兰为了帮他调查，背着邵刚做了“卧底”，此后两人遭遇了一系列的危险。,
突发事件,一座刚刚经受过一场台风袭击后的现代化沿海城市，市长吴刚在早上八点钟接到了一个犯罪团伙头目陆天豪打来的恐吓电话，他声称他们掌握了五十多年前，国民党在逃离大陆之前所遗留下来的地下巨大秘密弹药库。如果在二十四小时之内，不把同伙大毒枭“黑雕”放出来，他们将全引爆该弹药库，毁掉城市。吴刚没有丝毫懈怠，果断的紧急召集有关专家和人员进行调查和磋商对策…… 　　与此同时，吴刚的妻子赵玫因涉嫌受贿被机场警方截获。省委联合调查小组和专案组组长，主管政法的市委副书记钟平见状，陷入沉思中…… 　　,犯罪
大漠高墙,该剧是反映监狱改革和调整的历史大背景的力作。以20世纪初新疆监狱的改革发展为主题，以监狱高墙内外平凡的故事为线索，展开一名年轻的机关民警萧凡自愿到地处大漠中库亚西监狱担任监区长，文明执法，寓情于教，推出亲情帮教、视频网络，组建女警中心等改革举措，促进监区面貌发生变化的故事情节。该剧在改造、教育、回归、心理等因素情节脉络中展示观念的冲突和戏剧冲突，体现了改革与保守、创新与传统思想的激烈碰撞，从新世纪的监狱调整步伐中演绎了跌宕起伏的戏剧冲突，塑造了耳目一新的监狱民警影视群象。,"犯罪,悬疑"
一路追踪,在国际禁毒组织的严厉打击之下，金三角地区的毒源渐趋枯竭，大毒“深山猎人”为研制新型毒品冰毒，来代替罂粟，秘密潜回家乡，使波澜不惊平原市一时暗潮汹涌，深夜，两伙贩毒份子为抢夺毒品在山区公路展开火拼，造成重大人员伤亡。为了巨额利润，贩毒组织又斗胆在迪厅交易，却被刑警队长艾强的女儿无意中发现，得到情报的缉毒支队队长李浩率队员及武警战士迅速赶到现场包围了迪厅但贩毒梁虎生却神秘失踪；然而，在逃脱警方的追捕后，梁虎生却又不明不白的被毒杀，数百公斤的冰 毒，在警方的严密布探之下偷偷运出市区，接着，大豪药业集团的副总慕在发现冰 毒的秘密后，又在一夜之间不明去向......利用发达的现代通讯技术和互联网科技，贩毒他子通过手机留言和网上E-mail展开源源不断的贩毒活动，甚嚣尘上，其间交织着毒品、凶杀、网恋、爱恨情仇，究竟谁是幕后元凶？其中又隐藏着什么重大匿情？,犯罪
红蝎子之带泪梨花,三十四集禁毒题材大型电视连续剧《带泪梨花》是根据云南公安边防总队作家杨佳富长篇小说《红蝎子2》改编。剧中的吸、贩毒人员，有大学生、有公司白领、有影星、也有成功的商人。在文明进步，经济发达的社会里，他们却迷失了正确的价值取向，沉迷于虚荣、贪婪，从而误染毒品，走进罪恶的深渊。《带泪梨花》通过对毒品犯罪的披露和剖析。用一个个血与泪的教训，忏悔到醒悟的事实，提升人们对毒品和毒品犯罪的认识，从而告诫人们毒品和毒品犯罪是一个不可触摸的高压线。它就像瘟疫一样正在侵蚀着我们。毒品和毒品犯罪，并没有随着人类文明的进步而减少，人类与毒品的战争是刻不容缓的。这是一场全民性的，长期性的人民战争，只有依靠全民觉悟，共同抵制毒品，才能真正的赢得这场战争胜利。 　　     《带泪梨花》剧中通过十几位不同身份的吸贩毒人员，坦诚赎罪，现身说法，警示后人。并通过法制记者对剧中人物剖析、点评。增强人们的法制意识，再次提醒人们：“珍爱生命 拒绝毒品”。,
阳光下的冰器,中国南方边陲小城——骊城。沧桑百年，历尽风雨。货运业为这座城市带来了经济繁荣，同时也因走私泛滥给这座美丽的城市蒙上了一层阴影。廖筠如和男友郭飞亡命天涯，投靠了骊城的货运老大吴天亮。在一次走私交易中，郭飞奉吴天亮之命杀人灭口被刑警队长王博南发现后对其开始进行全程性的搜捕。 　　吴天亮两次派人刺杀已经暴露的郭飞，但都被郭飞识破。王博南带队追赶死里逃生的郭飞。郭飞引燃汽油，爆炸身亡。 　　三年后，吴天亮已和廖筠如成为了夫妻。吴天亮操纵着骊城最大的走私货运公司——“万顺”，并准备竞拍收购楼盘项目。此时，与廖筠如情同姐妹的刑警队副队长向红也已和王博南开始了热恋。 　　在缉私行动中，王博南推断嫌疑人老三与吴天亮的货运公司有关。但经过对其的审讯却毫无结果。王博南提出扫查吴天亮的货场，被副局长孙宝印驳回。吴天亮派人干掉了老三灭口，王博南的同事林鹏也因此失职受到批评。 　　吴天亮买通竞争对手收购楼盘成功，但却因途中冒出的不速之客而损失惨重。操纵这一切的是现已化名为汪海洋的郭飞……,
七尺男儿,延疆紧邻边界，是一个社会治安混乱的地区。近段时间延疆出现了一个专门残害年轻妇女的杀人狂魔，金刚镇被紧急调来延疆任公安局长。延疆是他的老家，当地响当当的大企业家宫德满就是他从小光腚玩大的朋友。 　　金刚镇上任后接手的第一个案子就是一个连续杀人多起，而又没一点线索的系列大案，凶手手段残忍，一时人心惶惶。延疆又不断的出现了汽车走私案、交通肇事逃逸案、绑架爆炸案，黑恶行为已在延疆形成一股势力。 　　经过缜密的侦查，金刚镇终于抓获了杀人狂尹春日，并发现黑恶团伙的头目居然是从小玩大的朋友宫德满……,"犯罪,悬疑"
终极使命,我国东海岸千年古镇水头镇是改革开放最早的黄金地带。镇里的专业户刘昌胜、陈宗堂、汪富陵、李智富等巨富几乎同时收到自称“双马帮第七先锋队”的恐吓信，敲诈勒索，声称如果不给钱将有灭顶之灾。古镇笼罩在一片惊恐与不安之中，警方很快作出反应，此案命为“3·10大案”。 　　公安局成立了以刑警大队大队长岳秋霖为首的“3·10专案组”进驻水头镇。当天，两名穿黑西装的青年飞一样闯入镇里的北港饭店，露出黑呼呼的五连发猎枪将两名用餐人当场打死，扬长而去。这起恶性枪杀案究竟是不是双马帮所为？ 　　一辆三轮车停在汪富陵老板家门前，司机将一件“礼物”交给门卫，这件不明“礼物”使汪夫人惊恐不安。正在县里开会的汪老板火速赶回家时，“3·10专案组”的孙克庄已经做了妥善安排。 　　经X光检验，此“礼物”是一件拉发式炸药包。警方制止了这起恶性爆炸事件，使汪富陵大为感动，决定配合警方侦破此案。市公安局派特警曹玉生将炸药包打开，发现罪犯的作案痕迹：《本草纲目》、《文汇报》和雷管上的指纹。 　　大雨倾盆，山洪暴发。小学优秀教师吴人俊正舍身营救被洪水阻隔的儿童，谁能想到，在一座木楼里，他正在谋划更为恶性的敲诈游戏……,犯罪
权力游戏,官场是人生的竞技场，为官从政自古以来都是智慧与权力较量的最高境界。 本片讲述一个乡土小县班子调整时，某些人将此变成权力争夺的舞台，明争暗斗演绎出形形色色的故事。 　　,
生死卧底,该剧讲述了主人公在走毒行动中的悲欢离合，最后落入法网。,"犯罪,悬疑"
匹夫英雄,微博：@齐齐亚  微信：qiqiyalove,犯罪
快网利剑,中原古城河阳，古墓遍地，清明节凌晨，一声巨响，距山高县回龙镇3公里的唐皇陵被炸开了一个窟窿，惊天大案震惊中外，成为国家公安部督办大案，限期破案……河阳市公安局快速出警，封锁了现场，展开全面侦察 。  　　张之民临危受命上任河阳市公安局局长，省厅秘派女干警赛南以记者的身份协助破案。副局长罗贵进入墓穴通道，新进干警雷呜被森森白骨、脚下的大蛇吓出一身冷汗……  　　价值连城的国家一级文物“十二裙钗三彩女佣”逃离侦查视线，局长张之民化妆成收购文物的香港老板入住牡丹国际大酒店追查线索，同文物贩几个回合的较量，缴获了几件唐三彩，但经专家鉴定，均非唐皇陵之物。  　　走私团伙狡兔三窟，案情变得扑朔迷离，公安局局长张之民和干警们一道同文物盗窃走私团伙展开了一场殊死的拼搏较量……,犯罪
末路天堂,国际刑警戴志成、记者房可欣、模特何爽、民警高守银、会计侯得宝、厨师董一勺、兽医胡安之、母亲周丽霞，这八个性格迥异、身份背景南辕北辙的人，怀着各自不同的目的，共同踏上了一条特殊的旅程——偷渡美国。 　　昆明国际机场，一面“天堂鸟旅行团”的旗帜，将这八个人领上征途。本片的主人公戴志成的使命，是为了从蛇头刀龙身上，顺藤摸瓜将这支海外偷渡集团一网打尽。记者房可欣是为了深入偷渡队伍内部，写出一部关于偷渡客的深刻报道。民警高守银则是为了追回失散在境外的珍贵文物。八个复杂的人，随着刀龙，离开昆明，奔向旅程的第一个目的地。然而，征途刚刚开始，一个小小的丢包事件，破坏了整个原定行程，将九个人推上了一条生死未卜的道路。 　　队伍行进到老挝的原始森林，遭遇搁浅。为了不中断各自的目的，众人一致要求继续前行。刀龙为了个人利益，俨然应允。结果，这一步踏出，九个人便身不由己地掉进了险象环生、危机四伏的夺宝争斗中。原来，文物贩子头领阿泰得到消息，在这九个人中，有一个人带着价值连城的宝物。九人在懵懂中，为了保全生命，下意识地使出各种办法去面对突如其来的变故。队伍前途漫漫、陷入变幻莫测的危机边缘。在这个过程中，戴志成显现出他的睿智、坚定、勇者无惧的独特魅力。他一方面要完成自己的神圣使命，另一方面又要竭力维护每一个人的生命安全。几次将生死置之度外，将一场场危机化险为夷。然而，诡异的丛林，贪婪的文物贩子，岂是他一个人的力量便能掌控？队员一刻也无法放松警惕，因为危险就如同黑暗的眼睛，时刻窥视着他们。于是，危机席卷着每一个人的神经。眨眼的瞬间，队员便从平坦摔入深渊，生命危在旦夕。随着各种意料不到的状况发生，饥饿、黑暗、潮湿、蚊虫、死亡交织着来临。每个人的神经濒临崩溃。 　　为了各自的利益、人性中最阴暗的一面——贪婪、自私、背叛、谎言开始逐渐显现。在古老的森林中，他们彼此伤害、彼此背叛。与此同时，正义、善良、无私、坚强、乐观也随之显现。逐渐，他们开始彼此依靠、团结一致。在颠沛流离的旅途中，在极度恶劣的环境下，在磨难与绝望的缝隙中，他们共同面对生存的挑战，一次又一次死里逃生。当旅途逐渐接近尾声，何爽等人惊愕地发现，自己用生命做赌注，孤注一掷所追求的天堂，居然是一场海市蜃楼般的幻想。 　　与愿望背道而驰的残酷现实，消耗着每一个人的憧憬。前方的道路，对每一个人来说，仿佛遥遥无期。可是，已经没有一个人能继续耗下去，渴望平安、渴望安逸，像一场即将爆发的山雨，在他们每一个人的胸腔中澎湃……。何爽等人开始沉淀，开始反思。回首来时路，终于发现谁也无法抛弃过去，谁也无法忽略过去，谁也无法真正遗忘过去，逃避永远不是生活的法则，面对才是唯一的出路。在戴志成的带领下，众人携起了手走出了丛林，告别了死亡，同时也向不切实际的财富与梦想告别。何爽、董一勺、周丽霞等人回到了祖国，过上了平静的日子。蓦然回首，惊觉当初远赴异国他乡，拼死拼活追求的幸福，其实一直就在自己身边……,"犯罪,悬疑"
紧急追捕,某个平静的早晨，一名腰绑炸药的犯罪分子闯入闹市区，绑架了人质，寻找一个谢元泰的人勒索钱财务。经过刑警队长江武等公安民警与犯罪分子寻找的谢元泰，化名张子贤潜回本市，开始策划更大的犯罪活动，里外勾结持枪抢劫了银行三百万元巨款，打死打伤数千人，并骗得刑警遗孀李群英的感情，在市内潜伏下来。在我公安民警的不懈努力下，案犯何改等被抓获，何改的弟弟因伤重被何改打死灭口，而年轻的刑警冠军也在抓捕何改时牺牲。张子贤的行踪被发现，张子贤跳楼逃走，并再次诈死。同时，被抢的三百万块钱也不知所踪，张子贤身后隐藏更深的一个黑社会头目黄大康突然被绑架，一直对江武...,"犯罪,悬疑"
英雄有约,“施虐狂”变身“市委书记”。他不按官场牌理出牌，不畏黑势力，追踪千万巨款海外洗钱，前书记被杀事件…… 　　那个人是一手提拔自己的人，可那个人卷进了一个黑暗的漩涡，那个人最终成了一切罪恶的幕后…… 　　省级机关的外长司马田，作为后备干部对象下派到某市，担任“签约书记”。他不按官场牌理出牌，引起了市机关、社会各界的震荡，尤其是他不畏上面，不畏地方黑势力，触犯了当地乃至更大一些的头面人物的利益后，他的仕途便走进了一条狭窄的胡同。 　　他追踪千万巨款海外洗钱，追查前书记被杀事件。承受了地方势力张麟山与“高老师”设计的拉拢、棒杀、绑架、杀戮……等等险恶怪招。 　　他发现，提拔他的老领导庞副书记是洗巨款、造罪恶、杀戮的幕后，他几乎陷入绝境。当庞副书记提出让他放一马时说，你是我的人，你把我交等了，你也完蛋，司马田真的犹豫了，最终，他流着泪做出了艰难的抉择……,
风中玫瑰,几个不同职业、不同经历的女性，却都因钱丧弃人格，丧失人性而堕入深渊。《风中玫瑰》就是讲述了女人如何禁不住金钱和欲望的诱惑一步步的迷失自己的故事。,悬疑
藏地密码,《藏地密码》讲述了以西藏和藏文化为背景的一个全球大探险故事，其中涉及到西藏千年秘史、藏传佛教历史遗案，以及世界上众多著名文化遗迹。讲述男主人公卓木强巴追查藏獒紫麒麟下落，却在命运的安排下，结识了一帮生死之交，并在他们的帮助下，去寻找西藏失落的神秘宝藏——帕巴拉神庙的故事。  　　,"悬疑,自制"
非常接触,东南沿海，三军联合演习，由此，围绕着导弹发射的保障与干扰等关键问题，雷和平等我国安全人员与某海外间谍机关特务，展开了一场你死我活的生死大比拼。雷和平接到海外密报，某海外间谍组织制定了代号为“诺查丹玛斯”行动，派遣间谍潜入大陆，搜集我国导弹机密资料、破坏我导弹发射。,悬疑
非常案件,全剧四个不同类型的案件组成，分别拟了四个小片目，“红舞之夜”、“黑色通道”、“神人龙面”和“死亡游戏”。“红”剧循着一个年逾三十的舞蹈演员因爱情、事业的挫折而走向绝境的行迹，揭示了一桩看似谋杀，实为自杀的充满悬疑的案件；“黑”剧则跟踪一条毒品走私和贩卖的线索，使形形色色的犯罪嫌疑人浮出水面，而真正的幕后元凶却令人始料不及；“神”剧看似充满着神秘和恐惧的气氛，但一经刑侦人员提示出真像，却是一个隐含两代恩仇的故事；“死”剧围绕数起命案和幼儿教师荒唐的行径，讲述了一个令人扼腕又惨无人道的复杂的故事。,
凶在其中,亚当·埃利奥特和格蕾丝·道格拉斯从小青梅竹马，在度蜜月回来后被残忍地杀害了。他们在苏格兰高地布雷斯顿村里的家人和邻居都感到十分震惊，完全陷入了混乱。当凶手在杀了他们之后的第二晚，开车前往他们家人的途中。一场暴风雨来临，他的车子翻出了道路。当两家人找到他时，发现他受了很重的伤，他们将面对一个可怕的困境…… 　　在寻找答案的过程中，藏在背后的真相慢慢被揭开。每个人都有秘密，但在好与坏，真与假之间的界限模糊不清，你要如何面对永久的、也是最致命的后果呢？,悬疑
为奴十三年,故事起始于Ivy Moxam逃离被囚禁了13年的地窖，她在那天回了家，回到她阔别已久的生活中。但那天只是一切的开始。从那天开始，Ivy感受到了巨大的情感压力：如何再次让别人接受自己，如何再次去感觉，如何再次去爱……她还没有做好心理准备。她甚至还不能完全信任自己。,悬疑
左眼诡事,《左眼诡事》改编自乌啼霜满天的知名网络悬疑灵异小说《我的左眼是阴阳眼》。故事发生在民国时期，讲述的是因一场偶发的意外，打开了庸碌平凡的小镇青年尹明涯身上潜藏的阴阳眼——他忽然发现自己的左眼能够见煞。随即，一个名叫青冥的道士到访，开启了他一段传奇的人生旅程。,"奇幻,悬疑,自制"
无声的证言 第十九季,这是一部从法医视角描写的犯罪剧，真实地刻画出我们的所处的世界。,悬疑
不可遗忘,在一处建筑工地上发现一具39年前的男尸，警方不遗余力的追查，死者的身份到底是什么，又是谁造成了他的死亡？这起事件牵扯出所有人的肮脏过往，案子和凶手是谁已经不重要了，重要的是故事里面的每一个人。,悬疑
疑情谜案,该剧改编自英国著名作家伊恩·M·班克斯的小说，讲述了一个关于爱、忠诚和复仇的故事。,悬疑
布朗神父 第四季,布朗神父是一位著名的侦探，矮个子，圆脑袋，身材微胖却又可爱。手边常有一把标志性的大雨伞，他天性怕羞，说话有些结巴，看起来憨厚纯真，似乎与探案不搭边，却大智若愚，有着很锐利的直觉。,悬疑
追凶 第一季,《追凶 第一季》讲述的是一个警察遭到诬陷，在逃脱之后努力洗清罪名的故事。警官Marcus因为想调查多年前的一桩案子，无意中卷入阴谋，导致家破人亡，他发誓要找出真凶，但是案子扑朔迷离，身边的人都不可信，自己又成了逃犯，他该如何下手呢？,悬疑
警察阿姨2,作为《警察阿姨》的延续，故事也会按照上一部继续发展。讲述了崔英真因个人原因进行短暂休息，而重案组则迎来了一名新组长，焕然一新的重案小组进入了对全新案件的调查。,悬疑
三十年河东,《三十年河东》讲述的是侨商吴道宏回乡投资办企业，把祖宅吴家大院要了回来。吴家后裔吴子阳等人住进去以后，这座曾经以“闹鬼”著称的古宅内就怪事不断，宅子里藏有财宝的传闻也不胫而走，搞得一家人无法安宁。装神弄鬼、贼喊捉贼、瞒天过海、无中生有。一出出好戏在古宅中陆续上演……到底是冤死的阴魂不散，还是贪婪的世人作祟？一座埋藏着珍宝的宝宅，引来几路人马疯狂争夺，相隔八十年的两宗疑案，串起家族间的世代恩仇。,悬疑
穹顶之下 第一季,《穹顶之下》描述了一个有趣的故事：缅因州度假小镇Chester’s Mill突然被从天而降的力场包围，从此失去了与外部世界的一切联系。在这种极端情况下，当地居民为生存而爆发了争夺资源的内斗。与此同时，他们必须动用一切手段来查明事情的真相：力场从何而来？它究竟是什么东西？它会不会消失？何时消失？,"奇幻,悬疑"
布朗神父 第三季,该剧改编自英国推理名作。布朗神父是一个身材短小，矮胖的罗马天主教神父，手边常有一把标志性的大雨伞。他天性怕羞，说话有些结巴，看起来憨厚纯真，似乎与探案不搭边，却大智若愚，有着很锐利的直觉。总之他是一个热爱破案的萌萌哒神父。,悬疑
开膛街 第三季,故事起源于1894年，也就是第二季结束时的四年之后。第二季结束时的事件导致Reid、Drake、Jackson和Susan各奔一方，如今一辆列车上再次发生暴力抢劫，引发了一连串灾难性的后果，他们被迫重新聚到一起，但是他们谁也没有料到命运可能被彻底改变。,悬疑
来自黑暗,该剧女主人公一直生活在16年来的阴影当中：一个女孩因预感到危险向她求助，然而当时的她正在与已婚上司缠绵……一周后女孩被报失踪，接着相继有女孩不知去向。当她们被发现时死相惨烈，被虐痕迹一览无遗，可凶手却一直逍遥法外。16年后，两具遇害尸体被建筑工人发现，案件出现了新的线索，然而患有重度抑郁症的女主人公却只想抽身事外，直到又有一名女孩惨遭毒手……,悬疑
全民目击 第十八季,一对印度夫妇和一个员工被一个远程狙击手枪杀在车库前院，看似无动机的犯罪，却有着怎样的真相呢？该剧是一部法医探案类剧情片，一名病理学家通过分析受害者的死因和身份来努力侦破案件。,悬疑
奥德赛 第一季,本剧故事描述一个处于困境中的女军人、一个对前途彻底失望的企业律师和一个鲁莽无礼的政治活跃分子同时卷入一起令人震惊的国际军事丑闻，导致三个家庭面临四分五裂的危险。 　　在面对全球政治和军事秘密的时候，这三个陌生人只有一个共同点，他们知道事件的真相。为了挽救自己的国家，挽救家人，挽救他们自己，他们只有一条道路可以选择，联手揭发躲藏在幕后的黑手……,悬疑
天堂岛疑云 第五季,该剧讲述了一名居住在加勒比海岛的英国侦探的坎坷经历，该剧最早于2011年首播，已播出四季。 　　主创人员表示第五季的模式将不同于前四季。第五季可以“独立存在”，之前制作的四季内容都是轻喜剧式的谋杀悬疑剧，现在不想再重复那种风格了。,悬疑
千古掘密 第一季,该剧改编自以色列剧集，而且这个美国改编版也将在以色列取景。故事描述驻守在耶路撒冷的美国联邦调查局密探Peter在调查一名女考古学家的谋杀案时揭开了一个有两千年历史的超级阴谋。一旦这个阴谋获得成功，人类的历史将被彻底改写。,悬疑
追凶 第二季,警长Susan Reinhart又遇到了考验。郊外，一辆被烧毁的车内发现了一具面目全非的男尸，经确认，死者名叫Daniel Hope。 　　狱警David Murdoch在承受丧妻之痛后，与女儿Lucy的关系也渐渐疏远。一日，狱中一名女犯人Jules突然倒地，David负责押送其到医院就诊。在医院内，David接到女儿打来的电话，表示自己被人挟持，对方要求David将Jules带往指定地点，并不许报警，否则就会威胁Lucy和其腹中胎儿的生命安全。为了女儿，加上Jules在一旁游说，David选择铤而走险，在医院内带犯人“逃跑”。正在调查焚尸案的Susan，得知了女犯人逃跑一事，却发现此人正是死者Daniel Hope的姐姐。 　　究竟死的是不是Daniel，绑架Lucy的又是何人？为了查明真相，Susan和搭档开始了新的追捕。,悬疑
蓝蝶之谜,该剧讲述的是二十世纪三十年代的上海，三名集美貌、智慧、胆略于一身的年轻女子组建了女子侦探所，与罪恶展开殊死搏斗，由唐一菲主演的蓝依婷在探长丁凯文（马德钟饰演）的协助下，破获了一件又一件匪夷所思的案件。而随着剧情的发展，他们又将揭开惊天大案的神秘内幕，三个充满了智慧、勇气和激情的女子侦探和看似玩世不恭的丁凯文探长，在动荡的上海，一次次书写着他们的破案传奇。,悬疑
风云之十里洋场,讲述来民国初年，在风云际会的上海滩，一个平凡的小警察邢佳栋饰演的陆常有被推到来时代的风口浪尖，继而发生的种种感情、革命、斗争故事。该剧有个特别之处就是引进了一个全新的行当-翻戏党，导演谭友业表示，该剧故事将镜头对准纵横江湖数百年传奇行当雁门，民国时期又名“翻戏党”，“这一门算是江湖中上的地下党，专以诈术、设局骗取金银财宝，他们这些人是江湖几大门最有智商和谋略，专干大买卖。”,悬疑
青铜匕首,1934年，军阀混战，陕西靖镇的石家意外地发现了一支青铜匕首，而种种迹象表明，这很可能是“荆轲刺秦”使用过的那一件。石家将此宝物隐藏起来，希望不要落入坏人之手。     匕首秘藏传开，靖镇从此永无宁日。声名狼藉以游克文为首的凤翔军阀前往搜寻。于是，没有在荆轲手中完成刺杀任务的青铜匕首在沉睡了两千年后苏醒。       面对匕首的争夺，石家的父亲、大嫂，石家兄弟的恩师穆识子父女皆惨死在匪首游克文的手中。石多哥、石有书两兄弟由此展开了殊途同归的复仇计划。十年间，弟弟石多哥从一个怀有满腔义愤的莽撞少年成长为训练有素、果敢刚毅的抗日刺客。而哥哥石有书却令人迷惑地以造假的方式试图消解青铜匕首的价值，并在这个过程中由沉迷而沉沦。     石有书近乎变态的心理使他与石多哥的人生之路大相径庭，以至于最终葬送了他费尽心机从弟弟手中抢夺来的爱人云妹儿的生命。夹在兄弟间的云妹儿温顺隐忍，却被命运捉弄，与真心恋人石多哥擦肩而过，最终成为石有书的太太。最后关头，她带着青铜匕首对命运做出绝地反抗，以此祭奠她与石多哥今生无果的不了情—— 　　真正的青铜匕首还会出现吗？那将是一个无尽的、发人深省的国宝之谜—　,悬疑
穹顶之下 第二季,"讲述美国一小镇突然被神秘的透明力场包围的故事。第二季的故事情节将延续第一季，故事时间将再次过去两周。第二季将揭示穹顶的新变化：它变成了一个巨大的磁场，切斯特磨坊镇的所有金属物体、汽车等全都被""吸""到了天空。谁也不知道这会对穹顶内的人和物造成什么影响。","奇幻,悬疑"
天堂岛疑云 第四季,在一个节日里，朗姆酒厂的拥有者举办降神会，进行精神的交流。当谋杀案发生在这个降神会时，凶手不是一个具体的人，难道会是一种精神吗？,悬疑
枪花,淞沪会战之后，国民党溃败至重庆偏安一带，上海被日本军方及其操纵下的伪政府所控制。在极其险恶的环境之中，我国地下党人员展开了一次又一次艰苦惊险的秘密抗日活动。在这场斗争中出现了两位英勇抗日的姊妹花：樊露和茜茜。她们是中国共产党人的遗孤，在童年时代是密不可分的伙伴，“四一二”之后分别被领养失散。 　　多年后二人在上海相遇，并一起走上了抗日道路。在地下党员李克明的领导下并肩战斗，在挫败日方策划的阴谋中，做出了重要贡献。在此过程中，樊露历经磨砺和锻炼，成长为一名优秀的地下党领导，并帮助茜茜找到自己的身世真相，引导和培养她成为一名坚定的共产党员。,悬疑
真正的脑洞,真正是一个喜欢直播的宅男漫画迷。他收到了一个神秘的包裹，里面是一个小熊玩偶挂饰。戴上这个小熊玩偶他就能进入一款虚拟现实推理游戏。他需要破解游戏中的推理谜题才能顺利的通关回到现实世界。然而随着真正一关关的进入游戏，他困在游戏中的危险也悄然增加。,悬疑
